"country","year","suicides","population","suicide_per_100k","gdp_per_capita"
"Albania",1987,73,2709600,2.69412459403602,796
"Albania",1988,63,2764300,2.2790579893644,769
"Albania",1989,68,2803100,2.42588562662766,833
"Albania",1992,47,2822500,1.6651904340124,251
"Albania",1993,73,2807300,2.60036333843907,437
"Albania",1994,50,2849300,1.75481697258976,697
"Albania",1995,88,2903400,3.03092925535579,835
"Albania",1996,89,2940200,3.0270049656486,1127
"Albania",1997,170,2977300,5.70987135995701,793
"Albania",1998,154,3012700,5.11169382945531,899
"Albania",1999,139,3029700,4.58791299468594,1127
"Albania",2000,54,2796300,1.9311232700354,1299
"Albania",2001,119,2799349,4.25098835479249,1451
"Albania",2002,133,2818839,4.7182545721838,1573
"Albania",2003,124,2843929,4.36016510960717,2021
"Albania",2004,146,2874991,5.07827676677944,2544
"Albania",2005,0,2783320,0,2931
"Albania",2006,0,2780176,0,3235
"Albania",2007,124,2770344,4.47597843444713,3863
"Albania",2008,160,2757059,5.80328531235639,4672
"Albania",2009,0,2745735,0,4387
"Albania",2010,96,2736025,3.5087398689705,4359
"Antigua and Barbuda",1985,0,62574,0,3850
"Antigua and Barbuda",1986,0,61270,0,4740
"Antigua and Barbuda",1987,0,60261,0,5595
"Antigua and Barbuda",1988,0,59564,0,6693
"Antigua and Barbuda",1989,0,59238,0,7407
"Antigua and Barbuda",1990,1,59334,1.68537432163684,7744
"Antigua and Barbuda",1991,0,60394,0,7976
"Antigua and Barbuda",1992,0,61741,0,8087
"Antigua and Barbuda",1993,1,63315,1.57940456447919,8453
"Antigua and Barbuda",1994,0,65044,0,9062
"Antigua and Barbuda",1995,0,66846,0,8636
"Antigua and Barbuda",1998,0,72225,0,10078
"Antigua and Barbuda",1999,0,73832,0,10378
"Antigua and Barbuda",2000,2,75326,2.65512572020285,11021
"Antigua and Barbuda",2001,2,76497,2.61448161365805,10468
"Antigua and Barbuda",2002,0,77588,0,10499
"Antigua and Barbuda",2003,1,78658,1.27132650207226,10878
"Antigua and Barbuda",2004,2,79722,2.50871779433532,11535
"Antigua and Barbuda",2005,0,80809,0,12649
"Antigua and Barbuda",2006,0,81973,0,14114
"Antigua and Barbuda",2007,1,83131,1.20292069143881,15775
"Antigua and Barbuda",2008,0,84273,0,16238
"Antigua and Barbuda",2009,0,85405,0,14335
"Antigua and Barbuda",2012,0,88703,0,13657
"Antigua and Barbuda",2013,0,89779,0,13287
"Antigua and Barbuda",2014,0,90837,0,14093
"Antigua and Barbuda",2015,1,91889,1.08826954260031,14853
"Argentina",1985,1988,27090800,7.33828458369631,3264
"Argentina",1986,2284,27244400,8.38337419800032,4072
"Argentina",1987,2286,27599400,8.28278875627731,4026
"Argentina",1988,2354,28308000,8.31567048184259,4458
"Argentina",1989,2247,28702000,7.82872273709149,2670
"Argentina",1990,2140,29091100,7.35620172492618,4859
"Argentina",1991,1951,29623000,6.5860986395706,6404
"Argentina",1992,2184,30045400,7.26899958063464,7615
"Argentina",1993,2230,30477500,7.31687310310885,7768
"Argentina",1994,2241,30911200,7.24979942545097,8328
"Argentina",1995,2204,31345400,7.03133474130175,8232
"Argentina",1996,2229,31780700,7.01369069907208,8563
"Argentina",1997,2184,32333781,6.75454565613592,9057
"Argentina",1998,2347,32757259,7.16482413867412,9126
"Argentina",1999,2423,33174862,7.30372292128902,8546
"Argentina",2000,2774,33585533,8.25950864022316,8462
"Argentina",2001,3132,34010946,9.20880001397197,7900
"Argentina",2002,3162,34407507,9.18985499298162,2840
"Argentina",2003,3289,34785907,9.45497841985262,3668
"Argentina",2004,3121,35162945,8.87582083923858,4683
"Argentina",2005,3058,35550617,8.60181976588479,5590
"Argentina",2006,3108,35918886,8.65282960056167,6475
"Argentina",2007,2946,36315492,8.11224036287323,7918
"Argentina",2008,3059,36733520,8.32754388906917,9843
"Argentina",2009,2884,37158001,7.76145089182812,8961
