year,country,rainfall(MM),suicide_per_100k
1995,Lithuania,56.15449999999999,50.012562187255405
1996,Lithuania,44.678075,51.0197581568653
1997,Lithuania,55.885175000000004,48.509737467797606
1998,Lithuania,62.01266666666667,46.34474822685831
1999,Lithuania,51.12444166666668,46.49834465893009
2000,Lithuania,50.79025000000001,49.19874816183401
2001,Lithuania,61.11262500000001,46.53721246650871
2002,Lithuania,49.824475,47.366183659857704
2003,Lithuania,50.789208333333335,44.71245283297179
2004,Lithuania,56.28568333333333,42.8176628444146
2005,Lithuania,52.37897499999999,41.546866377214094
2006,Lithuania,49.45853333333333,33.559763091746795
2007,Lithuania,61.32460833333334,33.1944348639368
2008,Lithuania,55.38743333333334,36.38142667587061
2009,Lithuania,59.5055825,37.7258787262179
2010,Lithuania,68.74300833333334,34.51155136881691
2011,Lithuania,54.13580000000001,35.34961568578431
2012,Lithuania,63.714975,32.6664951705036
2013,Lithuania,55.91841666666665,38.6585036059298
2014,Lithuania,52.65164166666668,33.43427127848701
2015,Lithuania,46.349941666666666,32.53536950520821
1987,Finland,44.58719,29.539888602327704
1988,Finland,47.30083333333332,30.2572513812155
1989,Finland,45.790725,30.359022839095005
1990,Finland,41.89861666666666,32.3415541913542
1991,Finland,47.09674166666667,31.7760987549218
1992,Finland,51.634158333333325,30.735664809676106
1993,Finland,42.440974999999995,29.466357308584694
1994,Finland,42.173920833333334,29.128864247311807
1995,Finland,45.19529166666666,29.029761780268988
1996,Finland,43.35896666666667,25.967265003539996
1997,Finland,40.57910833333334,27.409188920218895
1998,Finland,55.15328333333334,25.347427989463892
1999,Finland,44.833425000000005,24.813666224324205
2000,Finland,50.695183333333325,23.864050702402
2001,Finland,45.93425,24.576529455195104
2002,Finland,39.42021666666666,22.2759557605622
2003,Finland,42.378683333333335,21.80591076088231
2004,Finland,51.846000000000004,21.5177060992787
2005,Finland,49.51647,20.033117120777497
2006,Finland,39.90721666666667,21.326414632089204
2007,Finland,50.35905833333334,19.904566107465108
2008,Finland,54.30888333333335,20.57729573299
2009,Finland,42.614425,20.506449813934697
2010,Finland,44.58228333333333,18.8407451455457
2011,Finland,50.869775000000004,17.931629762966306
2012,Finland,56.39219166666666,17.082644385523796
2013,Finland,42.472591666666666,17.272156018781697
2014,Finland,43.289674999999995,15.290863621775705
2015,Finland,50.030041666666655,14.107075209623199
1989,Russian Federation,37.4463,27.9975901443994
1990,Russian Federation,38.407266666666665,28.613280820421398
1991,Russian Federation,35.29865833333333,28.6131567637654
1992,Russian Federation,34.95843333333334,33.24888918171229
1993,Russian Federation,35.11195,40.558402472750906
1994,Russian Federation,36.355650000000004,44.35419227275161
1995,Russian Federation,36.91725,43.5324339928002
1996,Russian Federation,34.82545,41.293836691495706
1997,Russian Federation,36.93538333333334,39.305530028029196
1998,Russian Federation,36.903725,37.0307808752168
1999,Russian Federation,35.10845,41.0718739772401
2000,Russian Federation,36.79644166666667,40.967197480538005
2001,Russian Federation,36.97538333333333,41.4175210948274
2002,Russian Federation,36.919958333333334,40.283796358322604
2003,Russian Federation,35.66096666666667,37.545649949100785
2004,Russian Federation,37.992808333333336,35.81775111724561
2005,Russian Federation,35.692391666666666,33.63782534903539
2006,Russian Federation,37.482841666666666,31.482564293352407
2007,Russian Federation,38.90921666666667,30.5307288161081
2008,Russian Federation,38.70275833333333,28.433776212719994
2009,Russian Federation,36.73836666666667,27.89863086767969
2010,Russian Federation,37.526116666666674,24.7327000246548
2011,Russian Federation,36.74545833333333,23.034471541592406
2012,Russian Federation,37.57541666666666,22.0118254509395
2013,Russian Federation,38.9789,21.296975884355607
2014,Russian Federation,37.24846666666667,19.7017440553044
2015,Russian Federation,37.91771666666667,18.560937227489802
1985,France,59.441808333333334,24.3292476441441
1986,France,72.50506666666665,24.2633274977923
1987,France,74.40588333333334,23.431238054134003
1988,France,76.77731666666666,22.238369863644007
1989,France,55.45976666666667,22.3492356618636
1990,France,63.71246666666667,21.53423136409901
1991,France,59.129025000000006,21.5866628880936
1992,France,72.88495833333333,21.714846248668895
1993,France,74.29596666666667,22.709999369733108
1994,France,79.627775,22.196578250265897
1995,France,72.82951666666666,21.6749039493109
1996,France,70.70507500000001,20.585272195008
1997,France,66.08849166666667,20.235986592909505
1998,France,67.68672500000001,19.055475057298505
1999,France,82.339075,18.6543732869084
2000,France,79.69064999999999,19.629937411458105
2001,France,74.825625,18.8232040512421
2002,France,78.31677499999999,19.0272667006904
2003,France,59.794075,19.288364905559003
2004,France,65.65230000000001,19.016465717681
2005,France,56.166666666666664,18.741902104850503
2006,France,68.37119166666668,18.0252480408503
2007,France,69.71705833333334,17.410212121781502
2008,France,77.79785833333334,17.702590225971303
2009,France,66.50951666666667,17.864335760216104
2010,France,69.48429166666668,17.574759996324193
2011,France,59.784,17.538230030299406
2012,France,72.03486666666667,16.3367741053394
2013,France,78.36311666666667,16.0240175987779
2014,France,76.77444166666668,14.7339020133966
1985,Thailand,126.55040833333334,6.44012584550138
1986,Thailand,121.75698083333334,5.911500943399909
1987,Thailand,120.77944333333333,6.273718946899948
1990,Thailand,124.44353083333334,7.3259761506975
1991,Thailand,116.25052166666666,6.851122339542589
1992,Thailand,112.25554166666667,6.75284437413877
1994,Thailand,136.64568583333335,4.37835683513314
1995,Thailand,135.6553575,7.80818075513551
1996,Thailand,144.26754833333334,8.067810574344772
1997,Thailand,113.02123333333334,7.429408800945693
1998,Thailand,121.03127083333334,8.75435510645343
1999,Thailand,144.8937,9.174398073585069
2000,Thailand,144.3552,8.894284426755037
2002,Thailand,134.56066833333333,8.413516762644889
2003,Thailand,124.78299750000001,7.453587413783198
2004,Thailand,117.586425,7.0790192058437915
2005,Thailand,127.86801916666667,6.434829211836388
2006,Thailand,138.46848333333332,5.85367322537654
2007,Thailand,136.24394166666667,6.369013841679041
2008,Thailand,139.82856666666666,6.379949140423441
2009,Thailand,134.04667249999997,6.36644804213482
2010,Thailand,133.699275,6.2924792542262695
2011,Thailand,164.49693333333335,6.426953631280241
2012,Thailand,125.77215833333332,6.599621031046293
2013,Thailand,140.32392499999997,6.518395575508591
2014,Thailand,117.69373666666662,6.463862014602928
2015,Thailand,111.80708333333332,6.864042466239199
1996,South Africa,47.299274166666656,0.37857075614505104
1997,South Africa,40.775825,0.2699324548537319
1998,South Africa,41.20509916666666,0.4588036623135719
1999,South Africa,36.159304166666665,0.699115656281667
2000,South Africa,52.038024166666666,0.658145141413576
2001,South Africa,44.87923083333334,0.9323647326338508
2002,South Africa,34.07569166666667,0.564541061128602
2003,South Africa,30.047780833333334,0.6035556643003589
2004,South Africa,38.9772275,0.8905760175923878
2005,South Africa,32.082741666666664,1.0512759379671
2006,South Africa,48.38343916666667,1.1660866519898598
2007,South Africa,34.92915583333333,0.9354508620785379
2008,South Africa,36.06312166666667,1.0096018400485696
2009,South Africa,40.484516666666664,0.815663403603759
2010,South Africa,39.806620833333334,0.8510877898138
2011,South Africa,46.4936275,0.7648471302390879
