year,africa,americas,asia,europe,oceania
1985,11.906027426384599,8.411447925675349,16.6259050468012,13.3424124449671,12.5026295889881
1986,3.0350601779173196,8.67940680460591,17.1090559723866,13.228169939075,13.7811941085115
1987,14.748349834983498,8.57700861686193,14.5588315127483,14.473337004797001,14.518945925631199
1988,18.0540540540541,8.38133734824604,16.2598144357395,14.099867725785,14.460481399008
1989,15.4357380212241,8.19232386685451,15.2297572765038,17.9627098357862,13.5824067316361
1990,15.620019126554,8.30689313287346,12.5462703494984,17.9583872379168,14.0608793209289
1991,14.603986781793001,8.23583821428723,12.148018248503499,18.4056140215877,14.3791931208114
1992,15.395971738901201,8.475721109891209,10.593218917583,19.5625058454409,14.090894267221199
1993,14.4005008869874,8.60766796876643,11.7871455390606,21.2194229929164,12.6502964827609
1994,13.260690789473697,8.53930893589044,12.478497020720502,22.1744990277855,14.071597391181
1995,14.9709746410021,8.65977135848392,13.666728412605801,22.268462043032304,13.4464857334865
1996,0.7635034615080251,8.41445230297925,15.1374539506305,21.677342310453803,14.487154252023599
1997,0.571575157694678,8.293681258151551,13.2209918445344,21.444722593982302,15.477006842253198
1998,0.832116869547523,8.369781490066579,16.040209351493303,20.6404342949274,15.290010050442701
1999,1.1062281867918797,8.09573658932248,15.5030021863057,20.847455592909398,14.1285320154229
2000,0.970579151306371,7.99675992811241,14.9490152670679,20.9233623780081,13.2385153904131
2001,1.18828509647871,8.34314053922761,15.605323892876301,20.561256098396896,13.3284299628966
2002,0.865911165382119,8.38808026026339,14.947519554880301,20.321340651438998,12.4294388710483
2003,0.8075997893357589,8.34817910783341,15.866529070561302,19.5931599120832,11.642003829503802
2004,1.09982868923503,8.38014508779817,17.899967637573898,18.7866138364406,11.259128478458098
2005,1.26226099451109,8.383370699532911,18.0018832040174,17.9751882245649,11.698236992749901
2006,1.4132387658724699,8.38475285168172,15.029243824128,16.9490939800189,11.2357634181146
2007,1.2010045026968998,8.54627539066152,14.941790071433301,16.4416315285283,11.2062555153229
2008,1.17791809278628,8.824924595618631,15.2968788016357,16.2698083787692,11.6655301697661
2009,1.0480249873063001,8.91609769866129,13.202509022095999,16.3779259549746,11.362872850440901
2010,1.0479701261460799,8.925721750988519,12.889516711484198,15.5502135064297,11.8700477134959
2011,1.0008154669393,9.061344549223609,12.8843571869032,15.266493559280601,11.3520316272339
2012,1.24112678967662,9.253331123853789,14.110021404187698,14.9132753004644,12.091321185501801
2013,1.40421503266823,9.22360507587367,14.1376718459978,14.450049365885802,12.129833132205901
2014,1.40386147253343,9.32099635662137,13.3947146873102,14.1279369481718,13.1843052315788
2015,1.16575647559538,9.60571805891132,13.427890154178,13.5416018081781,13.6101311172245
