year,Female,Male
1985,6.3314352445925,16.8667919618169
1986,6.454566864033049,17.176589979656
1987,6.2601957868989695,17.138508227599
1988,6.12773560821854,17.0790797096898
1989,6.569135751168861,19.9505563581074
1990,6.6483419536201,20.0975417773916
1991,6.479863949444059,20.4923873062416
1992,6.40176888495533,20.930416860169803
1993,6.53570656933443,22.8494843592002
1994,6.483388644050571,23.9488433410882
1995,6.67002774680879,24.410807821630897
1996,6.40086835754117,23.7351830023844
1997,6.20380591056576,22.4699474491673
1998,6.29206432498686,23.0620355391532
1999,6.17462777467715,23.085538799495897
2000,5.995861006817959,22.853432786774302
2001,5.8915649003852,23.090539715001697
2002,5.95172500338606,22.5630019648722
2003,5.905344856109481,22.3598751337976
2004,5.948143837980321,22.065901372878102
2005,5.855729411757291,21.5463368467585
2006,5.52572853652469,20.165919556801
2007,5.60823028555501,19.8167262697116
2008,5.67655089364275,19.9462612940028
2009,5.45413458338867,19.5053514499029
2010,5.32983201777479,18.876740173102398
2011,5.37218235068357,18.6931982421374
2012,5.418166265714941,18.958210944361397
2013,5.327955283666861,18.5799135974948
2014,5.283456215028799,18.4003744768264
2015,5.20479873983591,18.040784215512602
