year,country,temperature(Celsius),suicide_per_100k
1995,Lithuania,7.080841666666665,50.012562187255405
1996,Lithuania,5.598332500000001,51.0197581568653
1997,Lithuania,6.81497,48.509737467797606
1998,Lithuania,6.728209166666666,46.34474822685831
1999,Lithuania,7.785445833333333,46.49834465893009
2000,Lithuania,8.164232499999999,49.19874816183401
2001,Lithuania,7.133449166666666,46.53721246650871
2002,Lithuania,7.8137125,47.366183659857704
2003,Lithuania,6.900132500000001,44.71245283297179
2004,Lithuania,6.947184166666666,42.8176628444146
2005,Lithuania,6.819021666666667,41.546866377214094
2006,Lithuania,7.417224166666667,33.559763091746795
2007,Lithuania,7.870829166666666,33.1944348639368
2008,Lithuania,8.251535000000002,36.38142667587061
2009,Lithuania,7.189378333333335,37.7258787262179
2010,Lithuania,6.394191666666667,34.51155136881691
2011,Lithuania,7.7266716666666655,35.34961568578431
2012,Lithuania,6.857411666666668,32.6664951705036
2013,Lithuania,7.591351666666667,38.6585036059298
2014,Lithuania,7.922554999999999,33.43427127848701
2015,Lithuania,8.484947499999999,32.53536950520821
1987,Finland,-0.26899916666666646,29.539888602327704
1988,Finland,1.6815274999999996,30.2572513812155
1989,Finland,3.5168883333333327,30.359022839095005
1990,Finland,2.8240358333333333,32.3415541913542
1991,Finland,2.1579808333333337,31.7760987549218
1992,Finland,2.5760791666666663,30.735664809676106
1993,Finland,1.6301633333333332,29.466357308584694
1994,Finland,1.6050666666666673,29.128864247311807
1995,Finland,2.196935,29.029761780268988
1996,Finland,1.5194283333333332,25.967265003539996
1997,Finland,2.087333333333333,27.409188920218895
1998,Finland,1.0852900000000003,25.347427989463892
1999,Finland,2.1597508333333337,24.813666224324205
2000,Finland,3.337543333333333,23.864050702402
2001,Finland,1.909168333333333,24.576529455195104
2002,Finland,2.0130908333333326,22.2759557605622
2003,Finland,2.310938333333333,21.80591076088231
2004,Finland,2.4218433333333333,21.5177060992787
2005,Finland,3.080414166666667,20.033117120777497
2006,Finland,2.755181666666667,21.326414632089204
2007,Finland,2.935099166666666,19.904566107465108
2008,Finland,3.0419666666666667,20.57729573299
2009,Finland,2.2796991666666666,20.506449813934697
2010,Finland,0.9631666666666656,18.8407451455457
2011,Finland,3.4055841666666673,17.931629762966306
2012,Finland,1.6795491666666662,17.082644385523796
2013,Finland,3.2710224999999995,17.272156018781697
2014,Finland,3.405781666666666,15.290863621775705
2015,Finland,3.5244233333333335,14.107075209623199
1989,Russian Federation,-5.231295833333334,27.9975901443994
1990,Russian Federation,-5.183365833333333,28.613280820421398
1991,Russian Federation,-5.404179166666668,28.6131567637654
1992,Russian Federation,-6.110681666666667,33.24888918171229
1993,Russian Federation,-5.713026666666667,40.558402472750906
